,"Country,Other",TotalCases,NewCases,TotalDeaths
219,Vanuatu,18,,1 
220,Western Sahara,10,,1 
221,MS Zaandam,9,,2 
222,Marshall Islands,7,, 
223,Saint Helena,2,, 
224,Micronesia,1,, 
225,China,"110,868",+329,"4,636 "
226,"95,303,932","+8,688","1,414,469",+220
227,"120,415,765","+265,822","1,358,678",+220
228,"54,694,050",+33,"1,262,481",+1
229,"159,615,165",,"1,721,765",
230,"11,568,729",,"250,060",
231,"3,829,757","+30,615","8,035",+14
232,721,,15,
233,"445,428,119","+305,158","6,015,503",+455
